Smart Pub - Str. Trandafirilor, Nr.1 , Preajba, Dolj
Craft - Str. Eugeniu Carada, Nr.12, Craiova, Dolj
Ciobanasul - Parcul National Nicolae Romanescu, Aleea Principală, Craiova, Dolj
Paintball Rush Craiova - Str. Aeroportului, Nr. 187 d, Carcea, Dolj
Downtown Contemporary Bar & Food - Str. Fratii Buzesti, Nr.3, Craiova, Dolj
Mythos - Str. Calea Unirii, Nr. 136, Craiova, Dolj
La Rocca - Str, Brazda lui Novac, Nr. 54, Craiova, Dolj
Charger - Str. Oltet, Nr.16, Craiova, Dolj
Stockholm Social Club - Str. Romain Rolland, Nr.28, Craiova, Dolj
Toska - Str. Oltet, Nr.25, Craiova, Dolj
Café Teatru Play - Str. Calea Bucuresti, Nr. 139D, Craiova, Dolj
